date,symbol,twitterPosts,twitterComments,twitterLikes,twitterImpressions,twitterSentiment
18/11/2021,AAPL,811,2592,21674,7981808,
18/11/2021,ABT,21,3,13,64089,
18/11/2021,AMD,150,675,2949,1645270,
18/11/2021,AMZN,557,1315,12969,5590695,
18/11/2021,ATVI,82,36,131,1310715,
18/11/2021,BA,61,55,342,425847,
18/11/2021,CRM,25,7183,29832,142826,
18/11/2021,DIS,65,6,108,313479,
18/11/2021,EBAY,29,1,2,84739,
18/11/2021,ES,54,308,1008,157878,
18/11/2021,F,171,7014,47637,709902,
18/11/2021,GILD,23,0,0,59785,
18/11/2021,GOOG,49,51,181,160113,
18/11/2021,GOOGL,102,279,1704,848252,
18/11/2021,JPM,27,17,155,752743,
18/11/2021,KEY,22,2,11,47110,
18/11/2021,MA,21,4,40,78938,
18/11/2021,META,94,178,1066,590535,
18/11/2021,MNST,32,23,84,147992,
18/11/2021,MSFT,69,538,1824,325190,
18/11/2021,NFLX,38,201,1093,120409,
18/11/2021,NKE,108,365,2109,1350557,
18/11/2021,NVDA,304,1375,13896,1481784,
18/11/2021,PFE,61,111,516,379761,
18/11/2021,T,30,0,4,73155,
18/11/2021,TSLA,933,27741,234301,3225410,
18/11/2021,V,48,4,29,92684,
19/11/2021,AAPL,2379,22985,157720,13544431,
19/11/2021,ABBV,56,894,5618,399935,
19/11/2021,ABT,84,18,43,105289,
19/11/2021,AMD,394,1611,7820,2459120,
19/11/2021,AMZN,1530,4281,28530,9974686,
19/11/2021,ATVI,180,121,830,1043031,
19/11/2021,BA,619,173,777,3584212,
19/11/2021,C,100,439,1678,533102,
19/11/2021,CMG,47,82,259,347387,
19/11/2021,CRM,158,12680,58315,536291,
19/11/2021,DIS,364,82,532,3124967,
19/11/2021,EA,62,24,118,155321,
19/11/2021,EBAY,99,37,88,222664,
19/11/2021,EL,90,1,3,130016,
19/11/2021,ES,367,575,4361,1259741,
19/11/2021,F,825,23127,168966,4676580,
19/11/2021,FCX,133,370,797,343193,
19/11/2021,GILD,71,0,6,851678,
19/11/2021,GOOG,346,2842,34681,1597064,
19/11/2021,GOOGL,549,3149,23800,2620365,
19/11/2021,GS,117,177,528,595705,
19/11/2021,JPM,206,4989,7627,1400781,
19/11/2021,K,35,2544,9231,107007,
19/11/2021,KEY,156,181,654,1156417,
19/11/2021,KO,47,28,176,250494,
19/11/2021,L,21,0,0,47758,
19/11/2021,LUV,111,2,2,530809,
19/11/2021,MA,121,78,823,569920,
19/11/2021,META,748,1258,5522,5658879,
19/11/2021,MNST,172,768,633,1624378,
19/11/2021,MO,47,253,931,166212,
19/11/2021,MSFT,363,207,2572,2969615,
19/11/2021,MU,526,219,2454,3170947,
19/11/2021,NFLX,237,306,2204,1170624,
